Date,Open,High,Low,Close
2025-09-22,5462.65,5462.65,5426.58,5442.05
2025-09-19,5459.25,5494.13,5452.86,5458.42
2025-09-18,5389.00,5463.15,5389.00,5456.67
2025-09-17,5381.69,5393.92,5361.11,5369.70
2025-09-16,5439.92,5446.19,5370.58,5372.31
2025-09-15,5402.90,5446.17,5402.90,5440.40
2025-09-12,5387.15,5397.20,5359.31,5390.71
2025-09-11,5362.86,5403.93,5354.61,5386.77
2025-09-10,5387.46,5413.06,5354.56,5361.47
2025-09-09,5364.72,5387.84,5348.15,5368.82
2025-09-08,5324.66,5368.36,5324.66,5362.81
2025-09-05,5356.79,5372.26,5301.18,5318.15
2025-09-04,5327.05,5351.54,5313.22,5346.71
2025-09-03,5311.89,5342.45,5304.98,5325.01
2025-09-02,5367.56,5368.76,5290.46,5291.04
2025-09-01,5351.44,5377.74,5351.44,5367.08
2025-08-29,5384.93,5395.23,5351.64,5351.73
2025-08-28,5398.54,5430.81,5378.05,5396.73
2025-08-27,5385.69,5403.99,5365.97,5393.07
2025-08-26,5413.32,5413.32,5376.11,5383.68
2025-08-25,5480.53,5480.53,5441.08,5443.96
2025-08-22,5457.94,5510.69,5448.56,5488.23
2025-08-21,5469.92,5470.60,5439.27,5462.16
2025-08-20,5475.58,5491.52,5450.83,5472.32
2025-08-19,5438.98,5489.46,5438.98,5483.28
2025-08-18,5446.78,5451.66,5412.22,5434.64
2025-08-15,5441.26,5465.57,5440.57,5448.61
2025-08-14,5391.83,5438.37,5390.37,5434.70
2025-08-13,5342.23,5394.85,5342.23,5388.25
2025-08-12,5340.19,5348.70,5312.19,5335.97
2025-08-11,5360.25,5371.25,5325.73,5331.85
2025-08-08,5336.26,5366.96,5326.53,5347.74
2025-08-07,5261.32,5353.88,5261.32,5332.07
2025-08-06,5260.45,5282.54,5252.67,5263.29
2025-08-05,5254.75,5270.45,5235.92,5249.59
2025-08-04,5170.48,5242.32,5170.48,5242.32
2025-08-01,5304.04,5304.04,5154.83,5165.60
2025-07-31,5405.66,5419.62,5317.61,5319.92
2025-07-30,5376.43,5404.08,5363.98,5393.18
2025-07-29,5340.78,5412.51,5340.78,5379.20
2025-07-28,5381.59,5417.28,5330.97,5337.58
2025-07-25,5342.66,5362.23,5317.54,5352.16
2025-07-24,5365.92,5396.31,5337.97,5355.20
2025-07-23,5305.59,5371.35,5305.59,5344.25
2025-07-22,5332.32,5332.32,5277.85,5290.48
2025-07-21,5358.19,5360.05,5318.53,5342.98
2025-07-18,5385.37,5404.32,5353.10,5359.23
2025-07-17,5338.99,5377.15,5336.58,5377.15
2025-07-16,5327.78,5351.43,5298.07,5298.07
2025-07-15,5374.63,5397.76,5351.38,5354.17
2025-07-14,5357.50,5371.21,5337.64,5370.85
2025-07-11,5423.00,5423.00,5370.17,5383.48
2025-07-10,5452.30,5470.81,5434.95,5438.27
2025-07-09,5382.03,5451.70,5382.03,5445.65
2025-07-08,5346.33,5375.41,5333.53,5371.95
2025-07-07,5292.79,5341.54,5289.19,5341.54
2025-07-04,5320.94,5320.94,5274.88,5288.81
2025-07-03,5325.85,5343.15,5302.59,5343.15
2025-07-02,5294.27,5323.53,5285.25,5318.72
2025-07-01,5308.01,5314.39,5265.94,5282.43
2025-06-30,5337.74,5341.77,5296.46,5303.24
2025-06-27,5268.82,5325.64,5268.82,5325.64
2025-06-26,5261.16,5273.81,5222.76,5244.03
2025-06-25,5302.94,5316.26,5252.01,5252.01
2025-06-24,5261.92,5323.08,5261.92,5297.07
2025-06-23,5224.34,5249.18,5189.59,5221.90
2025-06-20,5208.19,5275.38,5208.19,5233.58
2025-06-19,5248.42,5248.42,5196.84,5197.03
2025-06-18,5288.63,5300.25,5253.56,5266.91
2025-06-17,5311.09,5311.09,5265.30,5288.68
2025-06-16,5295.92,5344.12,5295.92,5339.57
2025-06-13,5329.27,5329.27,5269.11,5290.47
2025-06-12,5377.34,5381.60,5327.74,5360.82
2025-06-11,5418.30,5430.15,5393.15,5393.15
2025-06-10,5414.84,5428.18,5396.17,5415.38
2025-06-09,5424.96,5427.50,5395.81,5421.52
2025-06-06,5407.14,5435.42,5395.58,5430.17
2025-06-05,5406.69,5432.38,5382.10,5410.55
2025-06-04,5385.42,5424.09,5385.42,5405.15
2025-06-03,5363.99,5376.95,5326.22,5375.70
2025-06-02,5337.40,5364.23,5308.05,5355.56
2025-05-30,5370.20,5402.23,5358.75,5366.59
2025-05-29,5402.57,5437.67,5364.98,5371.10
2025-05-28,5413.21,5427.97,5377.64,5378.39
2025-05-27,5391.13,5436.28,5388.47,5415.45
2025-05-26,5364.83,5412.57,5364.83,5395.33
2025-05-23,5426.69,5441.87,5252.94,5326.31
2025-05-22,5448.32,5448.32,5385.16,5424.48
2025-05-21,5452.27,5461.06,5415.89,5454.46
2025-05-20,5430.86,5467.28,5423.12,5454.65
2025-05-19,5409.04,5427.23,5382.33,5427.23
2025-05-16,5422.42,5450.95,5407.53,5427.53
2025-05-15,5392.32,5412.08,5363.52,5412.08
2025-05-14,5412.88,5421.20,5374.81,5403.44
2025-05-13,5390.62,5416.70,5384.68,5416.21
2025-05-12,5319.28,5421.61,5319.28,5392.36
2025-05-09,5286.04,5323.61,5286.04,5309.74
2025-05-08,5240.23,5304.78,5240.23,5288.94
2025-05-07,5261.34,5264.02,5223.66,5230.19
2025-05-06,5283.99,5292.94,5210.59,5263.38
2025-05-05,5270.34,5289.35,5262.28,5283.05
2025-05-02,5201.10,5285.19,5201.10,5285.19
2025-05-01,5160.22,5160.22,5160.22,5160.22
2025-04-30,5162.95,5185.30,5105.80,5160.22
2025-04-29,5176.03,5191.68,5138.71,5161.90
2025-04-28,5163.23,5199.30,5163.23,5170.49
2025-04-25,5121.35,5167.18,5121.35,5154.12
2025-04-24,5080.59,5116.33,5043.45,5114.98
2025-04-23,4972.51,5123.64,4972.51,5098.74
2025-04-22,4919.76,4961.45,4894.30,4961.45
2025-04-17,4966.76,4970.68,4922.20,4935.34
2025-04-16,4956.15,4967.09,4891.11,4966.50
2025-04-15,4915.47,4977.49,4913.73,4970.43
2025-04-14,4828.56,4936.12,4828.56,4911.39
