Date,Open,High,Low,Close
2025-09-22,9216.67,9234.60,9194.32,9226.68
2025-09-19,9228.11,9250.99,9207.70,9216.67
2025-09-18,9208.37,9245.24,9208.33,9228.11
2025-09-17,9195.66,9245.70,9195.66,9208.37
2025-09-16,9277.03,9282.13,9195.66,9195.66
2025-09-15,9283.29,9314.42,9262.67,9277.03
2025-09-12,9297.58,9340.70,9283.29,9283.29
2025-09-11,9225.39,9297.58,9225.39,9297.58
2025-09-10,9242.53,9290.55,9222.35,9225.39
2025-09-09,9221.44,9254.30,9221.44,9242.53
2025-09-08,9208.21,9234.91,9190.55,9221.44
2025-09-05,9216.87,9253.53,9197.56,9208.21
2025-09-04,9177.99,9231.42,9155.50,9216.87
2025-09-03,9116.69,9179.62,9107.40,9177.99
2025-09-02,9196.34,9196.46,9108.23,9116.69
2025-09-01,9187.34,9226.57,9179.83,9196.34
2025-08-29,9216.82,9223.14,9179.18,9187.34
2025-08-28,9255.50,9269.95,9207.39,9216.82
2025-08-27,9265.80,9301.86,9230.61,9255.50
2025-08-26,9321.40,9325.94,9249.61,9265.80
2025-08-22,9309.20,9357.51,9285.64,9321.40
2025-08-21,9288.14,9309.20,9257.45,9309.20
2025-08-20,9189.22,9301.19,9166.76,9288.14
2025-08-19,9157.74,9197.12,9154.81,9189.22
2025-08-18,9138.90,9165.67,9126.88,9157.74
2025-08-15,9177.24,9222.07,9129.52,9138.90
2025-08-14,9165.23,9177.24,9133.73,9177.24
2025-08-13,9147.81,9182.74,9142.37,9165.23
2025-08-12,9129.71,9165.03,9119.42,9147.81
2025-08-11,9095.73,9137.70,9093.18,9129.71
2025-08-08,9100.77,9127.13,9079.94,9095.73
2025-08-07,9164.31,9164.31,9084.54,9100.77
2025-08-06,9142.73,9184.19,9142.73,9164.31
2025-08-05,9128.30,9177.95,9126.62,9142.73
2025-08-04,9068.58,9129.10,9068.07,9128.30
2025-08-01,9132.81,9132.81,9027.94,9068.58
2025-07-31,9136.94,9190.73,9115.78,9132.81
2025-07-30,9136.32,9146.79,9091.54,9136.94
2025-07-29,9081.44,9163.24,9076.38,9136.32
2025-07-28,9120.31,9169.01,9058.42,9081.44
2025-07-25,9138.37,9145.02,9094.67,9120.31
2025-07-24,9061.49,9158.21,9060.71,9138.37
2025-07-23,9023.81,9080.09,9023.27,9061.49
2025-07-22,9012.99,9035.37,8995.11,9023.81
2025-07-21,8992.12,9012.99,8975.22,9012.99
2025-07-18,8972.64,9016.36,8969.09,8992.12
2025-07-17,8926.55,8982.84,8926.55,8972.64
2025-07-16,8938.32,8972.29,8926.55,8926.55
2025-07-15,8998.06,9016.98,8938.32,8938.32
2025-07-14,8941.12,8999.22,8931.09,8998.06
2025-07-11,8975.66,8984.14,8918.49,8941.12
2025-07-10,8867.02,8979.41,8867.02,8975.66
2025-07-09,8854.18,8887.70,8854.18,8867.02
2025-07-08,8806.53,8854.18,8803.27,8854.18
2025-07-07,8822.91,8836.88,8798.66,8806.53
2025-07-04,8823.20,8830.93,8782.06,8822.91
2025-07-03,8774.69,8837.75,8774.66,8823.20
2025-07-02,8785.33,8828.16,8738.99,8774.69
2025-07-01,8760.96,8790.84,8726.92,8785.33
2025-06-30,8798.91,8818.44,8760.96,8760.96
2025-06-27,8735.60,8798.91,8735.60,8798.91
2025-06-26,8718.75,8757.10,8707.65,8735.60
2025-06-25,8758.99,8792.43,8716.19,8718.75
2025-06-24,8758.04,8831.90,8757.97,8758.99
2025-06-23,8774.65,8787.06,8741.40,8758.04
2025-06-20,8791.80,8847.28,8772.32,8774.65
2025-06-19,8843.47,8844.12,8788.77,8791.80
2025-06-18,8834.03,8858.56,8820.42,8843.47
2025-06-17,8875.22,8875.22,8809.91,8834.03
2025-06-16,8850.63,8902.40,8850.63,8875.22
2025-06-13,8884.92,8898.63,8822.20,8850.63
2025-06-12,8864.35,8896.88,8843.63,8884.92
2025-06-11,8853.08,8885.38,8847.30,8864.35
2025-06-10,8832.28,8886.06,8832.28,8853.08
2025-06-09,8837.91,8850.87,8812.06,8832.28
2025-06-06,8811.04,8851.38,8805.57,8837.91
2025-06-05,8801.29,8838.84,8782.08,8811.04
2025-06-04,8787.02,8821.42,8780.36,8801.29
2025-06-03,8774.26,8801.46,8738.45,8787.02
2025-06-02,8772.38,8792.08,8730.64,8774.26
2025-05-30,8716.45,8790.45,8715.64,8772.38
2025-05-29,8726.01,8776.27,8709.11,8716.45
2025-05-28,8778.05,8799.77,8726.01,8726.01
2025-05-27,8717.97,8824.00,8717.97,8778.05
2025-05-23,8739.26,8779.36,8604.80,8717.97
2025-05-22,8786.46,8786.46,8689.44,8739.26
2025-05-21,8781.12,8798.46,8761.95,8786.46
2025-05-20,8699.31,8789.43,8698.05,8781.12
2025-05-19,8684.56,8699.31,8613.47,8699.31
2025-05-16,8633.75,8697.00,8633.63,8684.56
2025-05-15,8585.01,8634.56,8531.06,8633.75
2025-05-14,8602.92,8616.13,8558.24,8585.01
2025-05-13,8604.98,8623.78,8583.92,8602.92
2025-05-12,8554.80,8646.32,8546.25,8604.98
2025-05-09,8531.61,8581.53,8531.61,8554.80
2025-05-08,8559.33,8607.71,8514.04,8531.61
2025-05-07,8597.42,8599.95,8533.57,8559.33
2025-05-06,8596.35,8641.68,8569.11,8597.42
2025-05-05,8496.80,8622.14,8496.80,8596.35
2025-05-02,8496.80,8622.14,8496.80,8596.35
2025-05-01,8494.85,8505.28,8468.26,8496.80
2025-04-30,8463.46,8494.85,8430.48,8494.85
2025-04-29,8417.34,8470.40,8404.10,8463.46
2025-04-28,8415.25,8452.62,8415.24,8417.34
2025-04-25,8407.44,8442.65,8397.07,8415.25
2025-04-24,8403.18,8415.12,8361.79,8407.44
2025-04-23,8328.60,8467.79,8328.31,8403.18
2025-04-22,8275.66,8337.67,8262.49,8328.60
2025-04-17,8275.60,8295.07,8195.66,8275.66
2025-04-16,8249.12,8281.09,8177.04,8275.60
2025-04-15,8134.34,8257.77,8134.01,8249.12
2025-04-14,7964.18,8160.21,7964.18,8134.34
2025-04-11,7913.25,8000.78,7862.72,7964.18
2025-04-10,7679.48,8166.53,7679.48,7913.25
2025-04-09,7910.53,7910.53,7599.56,7679.48
2025-04-08,7702.08,7984.19,7702.08,7910.53
2025-04-07,8054.98,8054.98,7544.83,7702.08
2025-04-04,8474.74,8474.74,8023.45,8054.98
2025-04-03,8608.48,8608.48,8453.22,8474.74
2025-04-02,8634.80,8634.80,8548.32,8608.48
2025-04-01,8582.81,8671.91,8581.91,8634.80
2025-03-31,8658.85,8658.88,8530.98,8582.81
2025-03-28,8666.12,8694.19,8636.92,8658.85
2025-03-27,8689.59,8689.70,8611.42,8666.12
2025-03-26,8663.80,8714.81,8656.39,8689.59
2025-03-25,8638.01,8717.03,8638.01,8663.80
2025-03-24,8646.79,8695.60,8616.42,8638.01
2025-03-21,8701.99,8701.99,8615.96,8646.79
2025-03-20,8706.66,8742.75,8665.26,8701.99
2025-03-19,8705.23,8718.74,8662.56,8706.66
2025-03-18,8680.29,8726.95,8680.29,8705.23
2025-03-17,8632.33,8688.41,8625.04,8680.29
2025-03-14,8542.56,8642.79,8538.07,8632.33
2025-03-13,8540.97,8581.57,8513.65,8542.56
2025-03-12,8495.99,8565.45,8495.99,8540.97
2025-03-11,8600.22,8603.93,8481.11,8495.99
2025-03-10,8679.88,8700.79,8591.58,8600.22
2025-03-07,8682.84,8701.31,8627.30,8679.88
2025-03-06,8755.84,8778.19,8645.84,8682.84
2025-03-05,8759.00,8835.72,8752.46,8755.84
2025-03-04,8871.31,8873.67,8746.01,8759.00
2025-03-03,8809.74,8908.82,8809.74,8871.31
2025-02-28,8756.21,8810.50,8715.43,8809.74
2025-02-27,8731.46,8768.05,8680.55,8756.21
2025-02-26,8668.67,8738.28,8668.67,8731.46
2025-02-25,8658.98,8712.17,8628.11,8668.67
2025-02-24,8659.37,8688.26,8614.08,8658.98
2025-02-21,8662.97,8684.78,8638.63,8659.37
2025-02-20,8712.53,8712.66,8650.80,8662.97
2025-02-19,8766.73,8771.22,8696.94,8712.53
2025-02-18,8768.01,8787.66,8757.82,8766.73
2025-02-17,8732.46,8769.07,8725.27,8768.01
2025-02-14,8764.72,8767.73,8717.54,8732.46
2025-02-13,8807.44,8820.93,8729.57,8764.72
2025-02-12,8777.39,8810.62,8759.38,8807.44
2025-02-11,8767.80,8789.58,8750.53,8777.39
2025-02-10,8700.53,8785.85,8694.55,8767.80
2025-02-07,8727.28,8728.94,8685.78,8700.53
2025-02-06,8623.29,8767.50,8623.29,8727.28
2025-02-05,8570.77,8623.29,8550.24,8623.29
2025-02-04,8583.56,8583.59,8524.66,8570.77
2025-02-03,8673.96,8673.96,8520.20,8583.56
2025-01-31,8646.88,8692.84,8646.88,8673.96
2025-01-30,8557.81,8655.19,8547.86,8646.88
2025-01-29,8533.87,8584.07,8518.27,8557.81
