Date,Open,High,Low,Close
2025-09-22,45193.77,45757.74,45193.77,45493.66
2025-09-19,45634.29,45852.75,44495.46,45045.81
2025-09-18,44910.50,45508.67,44815.40,45303.43
2025-09-17,44751.84,45033.34,44612.07,44790.38
2025-09-16,44948.85,45055.38,44616.32,44902.27
2025-09-12,44803.30,44888.02,44548.57,44768.12
2025-09-11,43876.22,44396.95,43870.54,44372.50
2025-09-10,43513.16,43848.77,43509.02,43837.67
2025-09-09,43907.55,44185.73,43452.74,43459.29
2025-09-08,43451.07,43838.60,43343.58,43643.81
2025-09-05,42983.47,43220.94,42783.54,43018.75
2025-09-04,42093.70,42608.80,42066.59,42580.27
2025-09-03,42085.66,42293.54,41863.20,41938.89
2025-09-02,42299.63,42473.67,42084.78,42310.49
2025-09-01,42362.71,42454.99,41835.17,42188.79
2025-08-29,42774.29,42807.03,42611.31,42718.47
2025-08-28,42308.14,42828.79,42299.79,42828.79
2025-08-27,42476.09,42628.04,42270.18,42520.27
2025-08-26,42619.66,42703.27,42137.62,42394.40
2025-08-25,42977.27,43201.42,42681.37,42807.82
2025-08-22,42629.81,42720.57,42331.39,42633.29
2025-08-21,42783.26,42926.11,42564.30,42610.17
2025-08-20,43400.66,43425.78,42724.15,42888.55
2025-08-19,43846.55,43876.42,43411.97,43546.29
2025-08-18,43452.90,43835.12,43390.22,43714.31
2025-08-15,42866.38,43405.43,42736.86,43378.31
2025-08-14,43129.18,43199.83,42606.73,42649.26
2025-08-13,43090.91,43451.46,43008.20,43274.67
2025-08-12,42098.32,42999.71,42083.58,42718.17
2025-08-08,41283.70,42033.92,41248.05,41820.48
2025-08-07,40668.19,41164.11,40668.19,41059.15
2025-08-06,40430.46,40850.89,40423.13,40794.86
2025-08-05,40521.00,40649.38,40421.88,40549.54
2025-08-04,40118.81,40332.25,39850.52,40290.70
2025-08-01,41029.84,41064.73,40588.17,40799.60
2025-07-31,40693.00,41151.25,40639.32,41069.82
2025-07-30,40744.53,40744.53,40556.61,40654.70
2025-07-29,40767.77,40792.85,40563.53,40674.55
2025-07-28,41515.91,41534.21,40997.87,40998.27
2025-07-25,41760.58,41773.70,41389.79,41456.23
2025-07-24,41657.98,42065.83,41554.18,41826.34
2025-07-23,40189.18,41342.59,40087.86,41171.32
2025-07-22,39864.63,40275.89,39586.53,39774.92
2025-07-18,40072.39,40087.59,39745.42,39819.11
2025-07-17,39492.02,39910.96,39370.43,39901.19
2025-07-16,39734.74,39923.61,39520.96,39663.40
2025-07-15,39525.83,39678.02,39379.32,39678.02
2025-07-14,39416.10,39608.02,39288.90,39459.62
2025-07-11,39886.54,39957.80,39497.70,39569.68
2025-07-10,39795.75,39795.75,39530.95,39646.36
2025-07-09,39942.80,39971.06,39573.34,39821.28
2025-07-08,39542.07,39816.27,39510.48,39688.81
2025-07-07,39729.56,39829.38,39524.25,39587.68
2025-07-04,39994.64,40012.66,39693.40,39810.88
2025-07-03,39796.75,39865.89,39667.82,39785.90
2025-07-02,39631.17,39943.62,39444.70,39762.48
2025-07-01,40340.64,40345.87,39885.38,39986.33
2025-06-30,40550.79,40852.54,40322.54,40487.39
2025-06-27,39866.36,40267.84,39847.31,40150.79
2025-06-26,39072.14,39615.59,39056.14,39584.58
2025-06-25,38904.18,38944.77,38711.11,38942.07
2025-06-24,38779.18,38990.11,38665.61,38790.56
2025-06-23,38260.69,38368.22,38026.32,38354.09
2025-06-20,38472.25,38646.16,38362.54,38403.23
2025-06-19,38858.52,38870.55,38488.34,38488.34
2025-06-18,38364.16,38885.15,38364.16,38885.15
2025-06-17,38366.68,38581.25,38333.35,38536.74
2025-06-16,38056.86,38342.52,38055.52,38311.33
2025-06-13,38130.25,38141.59,37540.20,37834.25
2025-06-12,38324.93,38407.57,38102.05,38173.09
2025-06-11,38431.10,38529.64,38288.28,38421.19
2025-06-10,38278.17,38495.70,38139.10,38211.51
2025-06-09,38028.71,38178.01,38018.22,38088.57
2025-06-06,37590.44,37756.15,37590.42,37741.61
2025-06-05,37590.39,37732.88,37527.88,37554.49
2025-06-04,37686.66,37868.42,37672.47,37747.45
2025-06-03,37598.31,37729.45,37446.81,37446.81
2025-06-02,37651.18,37651.18,37320.72,37470.67
2025-05-30,37912.49,38114.47,37748.17,37965.10
2025-05-29,38046.97,38454.07,38035.32,38432.98
2025-05-28,38094.79,38178.73,37709.71,37722.40
2025-05-27,37523.37,37769.05,37411.68,37724.11
2025-05-26,37209.26,37531.53,37167.01,37531.53
2025-05-23,37161.74,37373.91,37111.63,37160.47
2025-05-22,36931.89,37100.45,36855.83,36985.87
2025-05-21,37590.15,37659.94,37298.98,37298.98
2025-05-20,37723.60,37921.81,37455.70,37529.49
2025-05-19,37572.36,37656.23,37445.93,37498.63
2025-05-16,37748.58,37786.43,37479.21,37753.72
2025-05-15,37832.36,37876.84,37633.36,37755.51
2025-05-14,38199.03,38325.88,37851.80,38128.13
2025-05-13,38149.53,38494.06,38124.20,38183.26
2025-05-12,37697.28,37726.44,37417.39,37644.26
2025-05-09,37332.57,37557.41,37219.03,37503.33
2025-05-08,36863.38,36977.35,36606.71,36928.63
2025-05-07,36903.66,36942.38,36731.39,36779.66
2025-05-02,36636.55,36976.51,36606.58,36830.69
2025-05-01,36197.04,36544.15,36040.05,36452.30
2025-04-30,35946.88,36056.52,35793.33,36045.38
2025-04-28,35962.80,36075.26,35773.49,35839.99
2025-04-25,35387.67,35835.28,35337.98,35705.74
2025-04-24,35194.71,35287.95,34960.65,35039.15
2025-04-23,34787.93,35142.12,34682.28,34868.63
2025-04-22,34111.14,34340.57,34109.85,34220.60
2025-04-21,34556.23,34610.60,34216.98,34279.92
2025-04-18,34353.88,34758.97,34224.57,34730.28
2025-04-17,33987.01,34379.13,33931.53,34377.60
2025-04-16,34249.82,34329.27,33658.47,33920.40
2025-04-15,34349.01,34459.00,34266.31,34267.54
2025-04-14,34006.37,34325.59,33887.70,33982.36
