Date,Price,Open,High,Low,Vol.,Change %
2025-09-22,6685.24,6650.84,6687.45,6648.31,,0.31%
2025-09-19,6664.36,6647.11,6671.82,6630.31,,0.49%
2025-09-18,6631.96,6626.85,6656.8,6611.89,,0.48%
2025-09-17,6600.35,6604.87,6624.39,6551.15,,-0.10%
2025-09-16,6606.76,6624.13,6626.99,6600.11,,-0.13%
2025-09-15,6615.28,6603.49,6619.62,6602.07,,0.47%
2025-09-12,6584.29,6590.66,6600.21,6579.49,,-0.05%
2025-09-11,6587.47,6554.41,6592.89,6545.8,,0.85%
2025-09-10,6532.04,6550.29,6555.97,6516.34,,0.30%
2025-09-09,6512.61,6503.33,6518.23,6483.08,,0.27%
2025-09-08,6495.15,6498.09,6508.67,6483.29,,0.21%
2025-09-05,6481.5,6529.08,6532.65,6443.98,,-0.32%
2025-09-04,6502.08,6456.6,6502.54,6445.98,,0.83%
2025-09-03,6448.26,6445.82,6453.67,6416.17,,0.51%
2025-09-02,6415.54,6401.51,6416.54,6360.58,,-0.69%
2025-08-29,6460.26,6489.28,6491.76,6444.57,,-0.64%
2025-08-28,6501.86,6483.84,6508.23,6466.96,,0.32%
2025-08-27,6481.4,6462.26,6487.06,6457.84,,0.24%
2025-08-26,6465.94,6435.49,6468.37,6429.21,,0.41%
2025-08-25,6439.32,6457.67,6466.89,6438.06,,-0.43%
2025-08-22,6466.91,6384.59,6478.89,6384.59,,1.52%
2025-08-21,6370.17,6380.83,6393.65,6352.71,,-0.40%
2025-08-20,6395.78,6406.62,6408.4,6343.86,,-0.24%
2025-08-19,6411.37,6446.24,6456.48,6400.22,,-0.59%
2025-08-18,6449.15,6445.02,6455.35,6437.7,,-0.01%
2025-08-15,6449.8,6477.38,6481.34,6441.85,,-0.29%
2025-08-14,6468.54,6453.46,6473.92,6441.07,,0.03%
2025-08-13,6466.58,6462.67,6480.28,6445.02,,0.32%
2025-08-12,6445.76,6395.17,6446.55,6385.76,,1.13%
2025-08-11,6373.45,6389.67,6407.25,6364.06,,-0.25%
2025-08-08,6389.45,6355.22,6395.16,6355.22,,0.78%
2025-08-07,6340,6374.32,6389.71,6310.32,,-0.08%
