Date,Open,High,Low,Close
2025-09-22,3822.01,3831.74,3806.20,3828.58
2025-09-19,3830.44,3843.17,3811.90,3820.09
2025-09-18,3876.06,3899.96,3801.00,3831.66
2025-09-17,3854.07,3882.67,3848.95,3876.34
2025-09-16,3865.98,3876.69,3838.65,3861.87
2025-09-15,3876.10,3879.74,3855.97,3860.50
2025-09-12,3875.51,3892.74,3866.54,3870.60
2025-09-11,3806.06,3875.31,3796.43,3875.31
2025-09-10,3806.58,3827.00,3794.06,3812.22
2025-09-09,3816.66,3834.67,3791.72,3807.29
2025-09-08,3811.67,3833.14,3803.60,3826.84
2025-09-05,3761.88,3817.16,3745.31,3812.51
2025-09-04,3807.76,3808.40,3732.84,3765.88
2025-09-03,3865.29,3868.39,3794.88,3813.56
2025-09-02,3877.09,3885.31,3828.68,3858.13
2025-09-01,3869.75,3879.05,3853.66,3875.53
2025-08-29,3842.82,3867.61,3839.21,3857.93
2025-08-28,3796.71,3845.09,3761.42,3843.60
2025-08-27,3869.61,3887.20,3800.35,3800.35
2025-08-26,3871.47,3888.60,3859.76,3868.38
2025-08-25,3848.16,3883.56,3839.97,3883.56
2025-08-22,3772.28,3825.76,3772.28,3825.76
2025-08-21,3770.68,3787.98,3757.99,3771.10
2025-08-20,3716.68,3767.43,3704.99,3766.21
2025-08-19,3728.49,3746.67,3718.15,3727.29
2025-08-18,3712.50,3745.94,3702.38,3728.03
2025-08-15,3659.81,3702.26,3658.38,3696.77
2025-08-14,3685.52,3704.77,3662.57,3666.44
2025-08-13,3668.66,3688.63,3666.55,3683.46
2025-08-12,3647.96,3669.04,3647.96,3665.92
2025-08-11,3637.05,3656.85,3629.63,3647.55
2025-08-08,3634.85,3645.37,3625.45,3635.13
2025-08-07,3637.78,3645.12,3622.52,3639.67
2025-08-06,3615.81,3634.31,3613.99,3633.99
2025-08-05,3588.81,3617.60,3586.97,3617.60
2025-08-04,3547.16,3583.31,3547.16,3583.31
2025-08-01,3568.26,3581.75,3550.04,3559.95
2025-07-31,3604.70,3606.37,3562.61,3573.21
2025-07-30,3608.35,3636.17,3593.73,3615.72
2025-07-29,3595.81,3611.35,3585.94,3609.71
2025-07-28,3594.23,3606.27,3582.15,3597.94
2025-07-25,3604.45,3610.03,3586.22,3593.66
2025-07-24,3578.91,3608.73,3577.11,3605.73
2025-07-23,3588.88,3613.02,3577.59,3582.30
2025-07-22,3561.63,3584.72,3547.25,3581.86
2025-07-21,3542.82,3560.63,3542.57,3559.79
2025-07-18,3519.48,3536.01,3518.23,3534.48
2025-07-17,3500.37,3517.28,3499.19,3516.83
2025-07-16,3502.90,3511.81,3489.14,3503.78
2025-07-15,3519.81,3527.04,3483.38,3505.00
2025-07-14,3513.25,3532.12,3513.25,3519.65
2025-07-11,3511.37,3555.22,3506.80,3510.18
2025-07-10,3491.50,3526.59,3491.50,3509.68
2025-07-09,3498.72,3512.67,3491.20,3493.05
2025-07-08,3474.63,3499.89,3474.63,3497.48
2025-07-07,3467.98,3474.80,3462.79,3473.13
2025-07-04,3459.59,3497.22,3455.49,3472.32
2025-07-03,3456.15,3463.62,3446.97,3461.15
2025-07-02,3458.17,3461.33,3447.96,3454.79
2025-07-01,3445.85,3459.59,3441.04,3457.75
2025-06-30,3423.47,3447.46,3420.11,3444.43
2025-06-27,3450.69,3462.63,3421.04,3424.23
2025-06-26,3451.72,3462.75,3446.19,3448.45
2025-06-25,3419.09,3459.01,3417.41,3455.97
2025-06-24,3380.08,3423.78,3380.08,3420.57
2025-06-23,3349.46,3389.45,3347.65,3381.58
2025-06-20,3358.91,3370.80,3357.71,3359.90
2025-06-19,3384.29,3386.92,3353.94,3362.11
2025-06-18,3386.14,3391.71,3369.99,3388.81
2025-06-17,3388.18,3393.31,3376.42,3387.40
2025-06-16,3369.37,3389.76,3368.88,3388.73
2025-06-13,3377.00,3401.55,3370.59,3377.00
2025-06-12,3397.97,3408.20,3388.87,3402.66
2025-06-11,3385.46,3413.51,3385.46,3402.32
2025-06-10,3402.01,3406.45,3365.67,3384.82
2025-06-09,3388.78,3402.05,3383.07,3399.77
2025-06-06,3384.30,3391.45,3379.76,3385.36
2025-06-05,3378.22,3387.76,3371.15,3384.10
2025-06-04,3363.39,3379.64,3363.39,3376.20
2025-06-03,3340.07,3367.00,3340.07,3361.98
2025-05-30,3358.81,3361.28,3341.65,3347.49
2025-05-29,3340.40,3368.63,3337.42,3363.45
2025-05-28,3341.85,3348.23,3336.73,3339.93
2025-05-27,3346.50,3351.57,3332.49,3340.69
2025-05-26,3346.56,3362.31,3336.36,3346.84
2025-05-23,3376.87,3389.47,3348.37,3348.37
2025-05-22,3381.87,3390.59,3376.23,3380.19
2025-05-21,3380.21,3394.75,3380.21,3387.57
2025-05-20,3371.69,3387.80,3369.96,3380.48
2025-05-19,3365.88,3373.60,3356.65,3367.58
2025-05-16,3374.71,3380.29,3356.66,3367.46
2025-05-15,3398.43,3402.87,3378.02,3380.82
2025-05-14,3374.24,3417.31,3368.08,3403.95
2025-05-13,3386.23,3386.23,3370.25,3374.87
2025-05-12,3352.97,3372.47,3344.27,3369.24
2025-05-09,3350.41,3351.22,3335.13,3342.00
2025-05-08,3331.21,3359.73,3327.90,3352.00
2025-05-07,3354.97,3356.69,3324.81,3342.67
2025-05-06,3295.25,3316.45,3286.99,3316.11
2025-04-30,3284.08,3292.20,3277.55,3279.03
2025-04-29,3281.45,3294.98,3277.63,3286.65
2025-04-28,3292.06,3296.93,3279.88,3288.41
2025-04-25,3300.39,3305.26,3288.75,3295.06
2025-04-24,3295.15,3313.51,3286.24,3297.29
2025-04-23,3308.15,3312.19,3293.06,3296.36
2025-04-22,3289.17,3311.15,3288.33,3299.76
2025-04-21,3273.14,3298.64,3270.01,3291.43
2025-04-18,3270.35,3283.09,3262.39,3276.73
2025-04-17,3261.72,3285.92,3258.15,3280.34
2025-04-16,3267.67,3276.00,3233.79,3276.00
2025-04-15,3260.69,3268.98,3246.34,3267.66
2025-04-14,3251.98,3272.72,3244.73,3262.81
2025-04-11,3219.51,3249.85,3211.35,3238.23
2025-04-10,3227.84,3239.94,3201.57,3223.64
2025-04-09,3110.01,3186.81,3070.08,3186.81
2025-04-08,3094.26,3145.55,3085.12,3145.55
2025-04-07,3193.10,3217.78,3040.69,3096.58
2025-04-03,3319.61,3358.43,3319.61,3342.01
2025-04-02,3344.17,3361.13,3343.12,3350.13
2025-04-01,3340.71,3357.62,3338.78,3348.44
2025-03-31,3343.34,3361.74,3317.74,3335.75
2025-03-28,3372.04,3375.05,3346.08,3351.31
2025-03-27,3362.71,3394.04,3351.17,3373.75
2025-03-26,3365.67,3382.34,3365.67,3368.70
2025-03-25,3370.00,3379.99,3361.05,3369.98
2025-03-24,3364.83,3373.69,3340.24,3370.03
2025-03-21,3401.76,3414.71,3355.84,3364.83
2025-03-20,3425.22,3427.05,3404.66,3408.95
2025-03-19,3424.17,3439.05,3414.59,3426.43
2025-03-18,3434.57,3437.07,3423.30,3429.76
2025-03-17,3430.81,3436.35,3422.46,3426.13
2025-03-14,3361.69,3421.23,3360.61,3419.56
2025-03-13,3371.09,3377.12,3341.12,3358.73
2025-03-12,3385.69,3392.41,3370.22,3371.92
2025-03-11,3335.44,3379.83,3334.83,3379.83
2025-03-10,3373.26,3375.80,3347.19,3366.16
2025-03-07,3373.18,3390.94,3363.93,3372.55
2025-03-06,3353.57,3387.05,3348.68,3381.10
2025-03-05,3324.70,3342.71,3314.15,3341.96
2025-03-04,3300.50,3327.82,3297.53,3324.21
2025-03-03,3328.40,3349.02,3304.59,3316.93
2025-02-28,3374.66,3383.19,3318.72,3320.90
2025-02-27,3378.45,3388.78,3353.57,3388.06
2025-02-26,3351.21,3380.21,3351.21,3380.21
2025-02-25,3345.65,3369.56,3337.84,3346.04
2025-02-24,3374.08,3384.81,3355.87,3373.03
2025-02-21,3356.69,3381.06,3339.03,3379.11
2025-02-20,3347.59,3355.56,3338.03,3350.78
2025-02-19,3320.78,3352.09,3320.58,3351.54
2025-02-18,3348.98,3366.01,3314.30,3324.49
2025-02-17,3355.42,3357.12,3333.19,3355.83
2025-02-14,3328.48,3349.08,3322.53,3346.72
2025-02-13,3343.23,3359.18,3332.48,3332.48
2025-02-12,3312.26,3346.39,3310.39,3346.39
2025-02-11,3323.67,3324.17,3304.44,3318.06
2025-02-10,3308.04,3325.36,3299.24,3322.17
2025-02-07,3269.23,3324.43,3262.51,3303.67
2025-02-06,3226.58,3271.43,3225.85,3270.66
2025-02-05,3270.16,3271.02,3220.28,3229.49
2025-01-27,3256.61,3274.39,3250.60,3250.60
2025-01-24,3222.88,3260.01,3221.71,3252.63
2025-01-23,3237.60,3273.52,3229.57,3230.16
2025-01-22,3235.49,3235.50,3203.38,3213.62
2025-01-21,3256.83,3258.61,3229.07,3242.62
2025-01-20,3256.15,3268.26,3238.12,3244.38
2025-01-17,3226.76,3256.51,3219.77,3241.82
2025-01-16,3239.03,3265.28,3217.10,3236.03
2025-01-15,3234.72,3245.90,3222.24,3227.12
2025-01-14,3165.16,3245.22,3159.43,3240.94
2025-01-13,3148.83,3172.70,3140.98,3160.76
2025-01-10,3211.71,3220.11,3168.52,3168.52
2025-01-09,3220.72,3228.97,3205.91,3211.39
2025-01-08,3218.86,3246.29,3175.72,3230.17
2025-01-07,3203.31,3230.85,3190.46,3229.64
2025-01-06,3209.78,3219.49,3185.46,3206.92
2025-01-03,3267.08,3273.57,3205.78,3211.43
2025-01-02,3347.94,3351.72,3242.09,3262.56
2024-12-31,3406.97,3413.45,3351.76,3351.76
2024-12-30,3395.40,3412.84,3394.96,3407.33
2024-12-27,3397.29,3418.95,3388.32,3400.14
2024-12-26,3389.34,3401.10,3380.26,3398.08
2024-12-25,3395.11,3406.21,3374.01,3393.35
2024-12-24,3353.54,3394.90,3352.95,3393.53
2024-12-23,3367.90,3384.99,3348.28,3351.26
2024-12-20,3364.48,3390.62,3362.82,3368.07
2024-12-19,3355.90,3377.53,3346.47,3370.03
2024-12-18,3371.30,3396.46,3371.30,3382.21
2024-12-17,3381.81,3396.21,3357.77,3361.49
2024-12-16,3390.08,3401.93,3376.54,3386.33
2024-12-13,3442.93,3442.93,3390.75,3391.88
2024-12-12,3432.28,3464.12,3425.98,3461.50
2024-12-11,3416.09,3437.81,3416.09,3432.49
2024-12-10,3490.29,3494.87,3417.77,3422.66
2024-12-09,3402.63,3426.65,3385.96,3402.53
2024-12-06,3370.94,3418.26,3364.21,3404.08
2024-12-05,3353.06,3377.06,3353.06,3368.86
2024-12-04,3376.57,3388.02,3352.94,3364.65
2024-12-03,3366.29,3386.62,3348.37,3378.81
2024-12-02,3328.48,3369.30,3323.01,3363.98
2024-11-29,3295.21,3357.50,3293.69,3326.46
2024-11-28,3308.28,3319.26,3290.36,3295.70
2024-11-27,3250.59,3309.88,3227.36,3309.78
2024-11-26,3256.86,3285.33,3252.87,3259.76
2024-11-25,3274.88,3285.46,3232.92,3263.76
2024-11-22,3368.04,3372.00,3267.19,3267.19
2024-11-21,3362.94,3378.52,3348.86,3370.40
2024-11-20,3337.68,3375.25,3333.00,3367.99
2024-11-19,3324.88,3346.76,3284.13,3346.01
2024-11-18,3344.69,3386.90,3309.01,3323.85
2024-11-15,3369.81,3391.32,3330.73,3330.73
2024-11-14,3429.51,3441.77,3376.15,3379.84
2024-11-13,3406.92,3442.30,3404.53,3439.28
2024-11-12,3469.89,3489.42,3402.04,3421.97
2024-11-11,3432.37,3471.12,3416.73,3470.07
2024-11-08,3502.13,3509.82,3443.19,3452.30
2024-11-07,3359.99,3470.66,3356.26,3470.66
2024-11-06,3395.22,3421.00,3367.08,3383.81
2024-11-05,3306.81,3386.99,3302.05,3386.99
2024-11-04,3275.68,3310.21,3263.84,3310.21
2024-11-01,3275.58,3305.32,3258.73,3272.01
2024-10-31,3267.98,3295.74,3252.39,3279.82
2024-10-30,3273.64,3291.68,3244.81,3266.24
2024-10-29,3328.09,3340.46,3284.21,3286.41
2024-10-28,3300.46,3322.20,3279.72,3322.20
2024-10-25,3280.76,3319.36,3276.13,3299.70
2024-10-24,3287.82,3292.94,3266.88,3280.26
2024-10-23,3285.25,3331.08,3277.07,3302.80
2024-10-22,3263.82,3294.96,3255.14,3285.87
2024-10-21,3276.06,3300.66,3239.10,3268.11
2024-10-18,3165.97,3313.98,3152.82,3261.56
2024-10-17,3220.73,3241.57,3169.38,3169.38
2024-10-16,3169.17,3236.85,3167.74,3202.95
2024-10-15,3265.75,3285.21,3201.29,3201.29
2024-10-14,3241.43,3294.62,3203.90,3284.32
2024-10-11,3287.87,3297.75,3187.99,3217.74
2024-10-10,3277.69,3379.81,3228.12,3301.93
2024-10-09,3427.22,3437.16,3249.16,3258.86
2024-10-08,3489.78,3674.40,3372.19,3489.78
2024-09-30,3194.72,3358.59,3153.70,3336.50
