Date,Open,High,Low,Close
2025-09-22,29791.03,29990.70,29747.86,29958.98
2025-09-19,29620.03,29791.45,29531.52,29768.36
2025-09-18,29347.03,29504.21,29319.90,29453.53
2025-09-17,29289.11,29465.14,29201.87,29321.66
2025-09-16,29429.45,29429.45,29247.55,29315.23
2025-09-15,29302.14,29432.49,29241.81,29431.02
2025-09-12,29390.65,29421.15,29254.37,29283.82
2025-09-11,29192.40,29418.76,29178.58,29407.89
2025-09-10,29108.52,29218.25,29099.88,29179.39
2025-09-09,29018.03,29123.11,29018.03,29063.01
2025-09-08,29070.15,29102.14,28893.86,29027.73
2025-09-05,29002.78,29115.42,28867.95,29050.63
2025-09-04,28761.89,28924.34,28734.87,28915.89
2025-09-03,28667.91,28761.92,28656.89,28751.36
2025-09-02,28497.38,28617.61,28370.05,28615.62
2025-08-29,28416.42,28607.30,28370.94,28564.45
2025-08-28,28505.06,28530.19,28349.61,28434.80
2025-08-27,28352.50,28468.34,28352.50,28433.00
2025-08-26,28173.93,28346.61,28159.59,28339.88
2025-08-25,28313.65,28313.65,28138.70,28169.94
2025-08-22,28079.53,28394.57,28079.53,28333.13
2025-08-21,27858.58,28063.51,27845.53,28055.43
2025-08-20,27821.32,27913.76,27802.11,27878.76
2025-08-19,27921.63,27998.28,27816.20,27823.88
2025-08-18,27887.29,27922.85,27840.85,27922.85
2025-08-15,27930.57,27932.10,27850.76,27905.49
2025-08-14,27942.58,27960.72,27836.37,27915.99
2025-08-13,27976.62,28063.73,27942.02,27993.43
2025-08-12,27815.96,27954.02,27815.96,27921.26
2025-08-11,27731.12,27841.39,27731.12,27775.23
2025-08-08,27792.52,27869.93,27739.83,27758.68
2025-08-07,27977.80,27977.80,27682.99,27761.27
2025-08-06,27800.46,27955.55,27800.46,27920.87
2025-08-05,27254.32,27575.27,27254.32,27570.08
2025-08-01,27171.70,27171.70,26846.74,27020.43
2025-07-31,27388.85,27481.07,27218.61,27259.78
2025-07-30,27525.78,27581.23,27290.01,27369.96
2025-07-29,27434.79,27544.57,27434.79,27539.88
2025-07-28,27493.08,27493.08,27351.28,27405.42
2025-07-25,27377.02,27516.03,27364.58,27494.35
