Dynasty, Regimes,Name,Length
Xia Dynasty,夏,1、宗神夏禹,7
Xia Dynasty,夏,2、帝启,9
Xia Dynasty,夏,3、太康,29
Xia Dynasty,夏,4、仲康,13
Xia Dynasty,夏,5、帝相至（羿-寒浞） 40年,28
Xia Dynasty,夏,6、少康,22
Xia Dynasty,夏,7、帝抒,17
Xia Dynasty,夏,8、帝槐,26
Xia Dynasty,夏,9、帝芒,18
Xia Dynasty,夏,10、帝泄,16
Xia Dynasty,夏,11、不降,59
Xia Dynasty,夏,12、帝扃（jiōng）,21
Xia Dynasty,夏,13、胤（yìn）甲,21
Xia Dynasty,夏,14、帝孔甲,31
Xia Dynasty,夏,15、帝皋（gā0）,11
Xia Dynasty,夏,16、帝发,19
Xia Dynasty,夏,17、履癸,53
Shang Dynasty,商,1、 商汤,29
Shang Dynasty,商,2、 外丙,3
Shang Dynasty,商,3、 仲壬,4
Shang Dynasty,商,4、 太甲,23
Shang Dynasty,商,5、 沃丁,29
Shang Dynasty,商,6、 太庚,25
Shang Dynasty,商,7、 小甲,17
Shang Dynasty,商,8、 雍己,12
Shang Dynasty,商,9、 太戊,75
Shang Dynasty,商,10、 仲丁,13
Shang Dynasty,商,11、 外壬,15
Shang Dynasty,商,12、 河亶甲,9
Shang Dynasty,商,13、 祖乙,19
Shang Dynasty,商,14、 祖辛,16
Shang Dynasty,商,15、 沃甲,25
Shang Dynasty,商,16、 祖丁,9
Shang Dynasty,商,17、 南庚,28
Shang Dynasty,商,18、 阳甲,7
Shang Dynasty,商,19、 盘庚,28
Shang Dynasty,商,20、 小辛,21
Shang Dynasty,商,21、 小乙,21
Shang Dynasty,商,22、 武丁,58
Shang Dynasty,商,23、 祖庚,7
Shang Dynasty,商,24、 祖甲,33
Shang Dynasty,商,25、 廪辛,6
Shang Dynasty,商,26、 庚丁,7
Shang Dynasty,商,27、 武乙,35
Shang Dynasty,商,28、 文丁,11
Shang Dynasty,商,29、 帝乙,26
Shang Dynasty,商,30、 帝辛,30
Western Zhou Dynasty,西周,1、武王发,7
Western Zhou Dynasty,西周,2、成王诵,37
Western Zhou Dynasty,西周,3、康王钊,26
Western Zhou Dynasty,西周,4、昭王瑖,51
Western Zhou Dynasty,西周,5、穆王满,55
Western Zhou Dynasty,西周,6、共王紧扈（hù）,12
Western Zhou Dynasty,西周,7、懿王囏（jiān）,25
Western Zhou Dynasty,西周,8、孝王辟方,15
Western Zhou Dynasty,西周,9、夷王变,16
Western Zhou Dynasty,西周,10、厉王胡共和时代14年,37
Western Zhou Dynasty,西周,11、宣王靖,46
Western Zhou Dynasty,西周,12、幽王宫湼,11
Spring and Autumn Period,东周,1、本王宜臼,51
Spring and Autumn Period,东周,2、桓王林,23
Spring and Autumn Period,东周,3、庄王铊（tā）,15
Spring and Autumn Period,东周,4、厘王胡齐,5
Spring and Autumn Period,东周,5、惠王阆（láng）,25
Spring and Autumn Period,东周,6、襄王郑,33
Spring and Autumn Period,东周,7、顷王壬臣,6
Spring and Autumn Period,东周,8、匡王班,6
